Time (UTC),(cms)
10-19-2001,99.91
10-20-2001,97.991
10-21-2001,93.335
10-22-2001,90.176
10-23-2001,88.145
10-24-2001,85.851
10-25-2001,83.382
10-26-2001,81.834
10-27-2001,79.544
10-28-2001,77.053
10-29-2001,73.884
10-30-2001,71.89
10-31-2001,70.38
11-01-2001,68.837
11-02-2001,67.899
11-03-2001,67.273
11-04-2001,65.35
11-05-2001,63.938
11-06-2001,62.412
11-07-2001,60.825
11-08-2001,59.815
11-09-2001,58.874
11-10-2001,57.232
11-11-2001,56.352
11-12-2001,55.526
11-13-2001,54.842
11-14-2001,53.01
11-15-2001,51.18
11-16-2001,51.473
11-17-2001,51.986
11-18-2001,50.985
11-19-2001,50.392
11-20-2001,48.599
11-21-2001,48.615
11-22-2001,48.289
11-23-2001,48.522
11-24-2001,45.419
11-25-2001,45.125
11-26-2001,44.467
11-27-2001,43.287
11-28-2001,43.645
11-29-2001,42.618
11-30-2001,42.006
12-01-2001,29.356
12-02-2001,41.375
12-03-2001,40.651
12-04-2001,40.537
12-05-2001,39.906
12-06-2001,39.29
12-07-2001,38.681
12-08-2001,39.27
12-09-2001,38.561
12-10-2001,39.142
12-11-2001,37.889
12-12-2001,37.02
12-13-2001,36.449
12-14-2001,36.491
12-15-2001,36.087
12-16-2001,35.109
12-17-2001,34.314
12-18-2001,34.595
12-19-2001,34.482
12-20-2001,33.299
12-21-2001,32.912
12-22-2001,32.254
12-23-2001,31.76
12-24-2001,31.525
12-25-2001,31.18
12-26-2001,30.91
12-27-2001,30.788
12-28-2001,30.18
12-29-2001,29.309
12-30-2001,28.865
12-31-2001,29.356
01-01-2002,28.73
01-02-2002,27.87
01-03-2002,27.977
01-04-2002,27.994
01-05-2002,27.588
01-06-2002,27.554
01-07-2002,27.695
01-08-2002,27.597
01-09-2002,27.3
01-10-2002,27.213
01-11-2002,25.975
01-12-2002,25.959
01-13-2002,25.995
01-14-2002,25.752
01-15-2002,25.6
01-16-2002,26.766
01-17-2002,27.315
01-18-2002,26.48
01-19-2002,29.112
01-20-2002,27.738
01-21-2002,28.001
01-22-2002,27.886
01-23-2002,26.532
01-24-2002,25.909
01-25-2002,25.92
01-26-2002,25.8
01-27-2002,25.539
01-28-2002,26.336
01-29-2002,26.708
01-30-2002,25.869
01-31-2002,25.157
02-01-2002,25.43
02-02-2002,25.37
02-03-2002,25.99
02-04-2002,25.247
02-05-2002,24.92
02-06-2002,25.247
02-07-2002,24.564
02-08-2002,24.643
02-09-2002,24.309
02-10-2002,24.25
02-11-2002,23.762
02-12-2002,23.855
02-13-2002,23.899
02-14-2002,23.151
02-15-2002,23.32
02-16-2002,22.86
02-17-2002,23.66
02-18-2002,23.04
02-19-2002,23.159
02-20-2002,22.628
02-21-2002,23.046
02-22-2002,22.553
02-23-2002,22.538
02-24-2002,22.65
02-25-2002,22.63
02-26-2002,22.365
02-27-2002,22.179
02-28-2002,22.199
03-01-2002,21.772
03-02-2002,21.819
03-03-2002,22.089
03-04-2002,22.2
03-05-2002,21.83
03-06-2002,21.311
03-07-2002,21.517
03-08-2002,20.404
03-09-2002,20.963
03-10-2002,21.118
03-11-2002,21.473
03-12-2002,22
03-13-2002,22.497
03-14-2002,22.705
03-15-2002,22.701
03-16-2002,21.874
03-17-2002,21.631
03-18-2002,21.751
03-19-2002,21.966
03-20-2002,22.02
03-21-2002,22.994
03-22-2002,23.538
03-23-2002,24.431
03-24-2002,25.972
03-25-2002,26.243
03-26-2002,25.015
03-27-2002,23.815
03-28-2002,23.408
03-29-2002,24.09
03-30-2002,23.624
03-31-2002,22.443
04-01-2002,22.72
04-02-2002,23.586
04-03-2002,23.345
04-04-2002,21.582
04-05-2002,22.92
04-06-2002,24.508
04-07-2002,25.983
04-08-2002,26.336
04-09-2002,35.84
04-10-2002,35.14
04-11-2002,30.623
04-12-2002,27.73
04-13-2002,25.48
04-14-2002,26.046
04-15-2002,28.892
04-16-2002,31.896
04-17-2002,33.614
04-18-2002,44.77
04-19-2002,46.307
04-20-2002,41.82
04-21-2002,39.065
04-22-2002,34.263
04-23-2002,33.577
04-24-2002,39.44
04-25-2002,41.868
04-26-2002,45.012
04-27-2002,46.4
04-28-2002,36.3
04-29-2002,35.749
04-30-2002,36.579
05-01-2002,36.676
05-02-2002,42.67
05-03-2002,45.902
05-04-2002,48.588
05-05-2002,41.154
05-06-2002,43.64
05-07-2002,43.704
05-08-2002,45.72
05-09-2002,48.226
05-10-2002,45.529
05-11-2002,45.797
05-12-2002,56.19
05-13-2002,49.26
05-14-2002,44.85
05-15-2002,41.572
05-16-2002,42.347
05-17-2002,49.768
05-18-2002,54.492
05-19-2002,66.713
05-20-2002,80.248
05-21-2002,62.83
05-22-2002,62.94
05-23-2002,58.406
05-24-2002,47.013
05-25-2002,45.01
05-26-2002,44.734
05-27-2002,59.817
05-28-2002,69.269
05-29-2002,66.629
05-30-2002,78.49
05-31-2002,67.879
06-01-2002,58.265
06-02-2002,55.552
06-03-2002,60.243
06-04-2002,72.901
06-05-2002,76.248
06-06-2002,87.17
06-07-2002,72.096
06-08-2002,64.104
06-09-2002,69.007
06-10-2002,68.786
06-11-2002,77.287
06-12-2002,82.7
06-13-2002,151.363
06-14-2002,168.025
